file	utterances	with_markers	⌈	⌉	⌊	⌋	cross_pairs	timed_pairs	temporal_ok	quality
6661	976	225	112	112	113	113	112	0	0	fully_paired
6750	1155	626	334	336	335	332	334	0	0	fully_paired
6784	164	39	20	10	20	15	20	0	0	fully_paired
6914	868	274	138	137	140	140	137	0	0	fully_paired
6931	38	20	11	11	11	11	11	0	0	fully_paired
6962	297	107	56	56	57	57	56	0	0	fully_paired
0921	791	264	136	136	135	135	133	0	0	fully_paired
1367	682	2	1	1	1	1	1	0	0	fully_paired
1469	438	102	53	52	55	56	53	0	0	fully_paired
1772	963	307	164	164	169	169	163	0	0	mixed
2137	908	169	85	86	86	86	85	0	0	fully_paired
4057	318	58	27	27	32	32	27	0	0	mixed
4095	819	154	80	79	81	81	80	0	0	fully_paired
4096	811	264	139	138	141	141	139	0	0	fully_paired
4318	272	91	49	49	50	49	49	3	3	fully_paired
4358	936	438	236	237	235	228	234	0	0	fully_paired
4400	597	257	135	133	136	135	135	0	0	fully_paired
4414	741	197	102	102	102	102	102	0	0	fully_paired
4463	557	244	129	129	129	128	129	0	0	fully_paired
4500	874	381	194	194	196	196	194	0	0	fully_paired
5034	697	260	146	148	148	148	146	0	0	fully_paired
5052	781	265	137	137	137	137	137	0	0	fully_paired
5539	536	183	95	95	95	95	95	0	0	fully_paired
5558	869	372	197	197	197	197	197	0	0	fully_paired
5607	927	174	92	92	96	96	92	0	0	mixed
5650	1079	469	232	232	238	238	232	1	1	mixed
5861	532	104	52	52	56	56	52	0	0	mixed
6153	804	511	278	278	279	270	278	48	48	fully_paired
6834	539	193	101	101	101	101	101	0	0	fully_paired
911	81	23	11	9	12	10	11	0	0	fully_paired
HabHeuch	85	45	22	19	29	26	21	0	0	mixed
Kim_Larsen	124	54	28	20	28	20	28	0	0	fully_paired
oath	26	6	3	2	3	2	3	0	0	fully_paired
01	108	26	13	7	13	6	13	0	0	fully_paired
02	105	37	19	2	19	4	19	0	0	fully_paired
03	141	83	46	42	47	44	46	0	0	fully_paired
04	167	136	84	29	85	29	84	0	0	fully_paired
05	64	23	12	11	12	11	12	0	0	fully_paired
06	104	34	19	8	19	8	19	0	0	fully_paired
07	117	32	16	11	16	11	16	1	1	fully_paired
08	75	33	19	10	19	10	19	0	0	fully_paired
09	92	38	22	14	22	14	22	0	0	fully_paired
10	117	51	28	17	28	19	28	0	0	fully_paired
11	154	72	39	33	39	32	39	0	0	fully_paired
12	161	95	56	25	57	22	56	0	0	fully_paired
13	183	122	69	39	73	45	69	0	0	mixed
14	103	51	29	24	29	25	29	0	0	fully_paired
15	120	20	10	8	10	8	10	0	0	fully_paired
16	105	54	28	25	28	25	28	0	0	fully_paired
17	99	32	16	11	16	8	16	0	0	fully_paired
18	179	113	64	31	64	30	64	0	0	fully_paired
19	122	67	33	34	36	35	33	0	0	mixed
20	191	86	44	43	46	47	44	0	0	fully_paired
21	63	12	6	4	6	4	6	0	0	fully_paired
22	81	37	20	12	20	0	20	0	0	mixed
23	181	112	59	2	62	0	59	0	0	mixed
24	74	34	16	0	18	0	16	0	0	open_only
25	105	32	16	11	16	11	16	1	1	fully_paired
26	120	49	28	22	29	23	28	1	1	fully_paired
27	105	68	38	37	38	37	38	0	0	fully_paired
28	187	111	55	45	67	54	55	0	0	mixed
29	67	47	31	31	31	31	31	0	0	fully_paired
30	105	74	43	40	43	40	43	0	0	fully_paired
31	80	31	15	10	17	10	15	0	0	fully_paired
32	100	18	10	1	10	1	10	0	0	fully_paired
33	90	34	19	15	19	15	19	0	0	fully_paired
34	186	106	57	45	59	42	56	0	0	fully_paired
35	139	86	46	39	46	40	46	0	0	fully_paired
36	114	67	37	32	40	34	37	0	0	mixed
37	96	29	15	15	15	15	14	0	0	fully_paired
38	149	122	71	65	73	68	71	0	0	fully_paired
39	165	78	39	16	39	15	39	0	0	fully_paired
40	97	13	7	7	7	7	7	0	0	fully_paired
seg1	42	9	5	2	5	2	5	1	0	fully_paired
seg2	52	1	0	1	0	0	0	0	0	mixed
cinco	20	4	4	1	0	0	0	0	0	mixed
muffin	25	8	4	3	4	4	4	0	0	fully_paired
tasha	30	11	6	0	6	0	6	0	0	open_only
vid	588	2	1	1	1	1	1	0	0	fully_paired
10gulfwar	123	16	8	0	8	0	8	8	8	open_only
11gulfwar	82	17	9	0	9	0	8	8	8	open_only
